,날짜,시가,고가,저가,종가,거래량,회사코드,시가총액,60beta,60개월평균수익률,티커,BPS,PER,PBR,EPS,DIV,DPS
241,2022-04-29,171000,172500,170000,171500,930,002840,521850000000,0.4622228912881468,1.0276407344445837,002840,59795,14.56,2.83,11641,3.54,6000
242,2022-04-29,24750,27650,24450,27200,2496998,004430,520309778400,1.2814426432792654,1.0069044803632219,004430,22636,9.27,1.23,3011,0.72,200
243,2022-04-29,52000,52500,50700,51300,10754,009970,518152496000,0.6057713379211704,0.9994253955472188,009970,140307,2.75,0.37,19026,3.82,2000
244,2022-04-29,48900,50100,48400,49500,1864,004700,509446242550,0.3687696539811513,1.0041756366036434,004700,106105,15.62,0.46,3153,0.61,300
245,2022-04-29,23150,23750,22600,22650,104648,024720,505588774720,1.4958767414602485,0.9937471689970792,024720,31792,18.97,0.7,1181,1.09,245
246,2022-04-29,3140,3195,3130,3190,1773328,092220,503960156000,1.0600275160891752,1.018937405357952,092220,1884,40.25,1.71,80,0.0,0
247,2022-04-29,7350,7350,7060,7110,350894,075580,499917332200,1.0589607715039802,1.0177707082469725,075580,2983,24.85,2.47,297,2.03,150
248,2022-04-29,7880,7900,7760,7820,32626,030610,499532279250,1.0097144664954973,0.9966572133850549,030610,21947,3.43,0.35,2255,6.46,500
249,2022-04-29,1590,1595,1540,1565,1723438,007460,497386003200,0.6927529115940304,0.9925577947043,007460,1687,0.0,0.94,0,0.0,0
250,2022-04-29,46100,46700,45350,45800,129270,036420,496467651300,1.311280906021272,1.0030988892179102,036420,9670,0.0,4.8,0,0.0,0
251,2022-04-29,4885,4960,4860,4960,202040,003520,494532621375,1.337750322176558,0.9909656316740493,003520,573,0.0,8.53,0,0.0,0
252,2022-04-29,10800,11000,10700,10950,53842,006740,493322068200,1.1365294688766263,1.0224496672797767,006740,7504,30.66,1.48,362,0.36,40
253,2022-04-29,4030,4975,3935,4600,121659282,001250,493163011875,1.4851622330404413,1.0057039780623978,001250,4013,16.24,1.15,283,0.0,0
254,2022-04-29,43850,44550,43800,44550,26753,002310,492524342600,0.7053604977288225,1.0134374802243353,002310,79766,4.36,0.56,10160,2.03,900
255,2022-04-29,9130,9160,9080,9140,160677,005440,491679634000,1.1666347707228364,0.9907112703237002,005440,20905,18.41,0.44,498,2.29,210
256,2022-04-29,12450,13000,12400,12900,638773,138490,490200000000,1.0268437653575735,1.0117506582206799,138490,5803,22.64,2.23,572,1.12,145
257,2022-04-29,863,873,861,866,993956,010050,487805500548,0.9121379546422872,1.0063881324890251,010050,686,9.58,1.27,91,2.29,20
258,2022-04-29,10400,10450,10300,10450,25091,115390,486612676600,0.9428710062248467,0.994844088769896,115390,13779,33.12,0.75,311,0.0,0
259,2022-04-29,141000,141000,138500,139500,991,107590,485375000000,0.7607380317356361,1.0128093007015648,107590,87327,9.68,1.59,14308,0.36,500
